time,signal
0,0.0
1,0.513369282526954
2,1.0156852069965252
3,1.4961832640304584
4,1.944668568930435
5,2.351780722391064
6,2.7092353668609053
7,3.0100357135138576
8,3.2486481702752754
9,3.42113722377482
10,3.525255888180534
11,3.5604892983745158
12,3.528050357641579
13,3.4308277127922353
14,3.2732876834113394
15,3.0613330779615238
16,2.8021230504023045
17,2.5038592518879925
18,2.1755444815091187
19,1.8267208108262858
20,1.4671947271276684
21,1.1067571936994738
22,0.754906651936849
23,0.4205828863580461
24,0.11191934264555159
25,-0.16397905962683978
26,-0.40122632802107794
27,-0.5953086505134031
28,-0.7431962226997775
29,-0.8434105756745682
30,-0.8960456235730727
31,-0.9027419919712653
32,-0.8666155418577886
33,-0.7921423297788015
34,-0.6850035048550691
35,-0.5518948014319573
36,-0.4003063088372272
37,-0.23827905767808266
38,-0.07414563063904772
39,0.08373753436993148
40,0.22725824283407392
41,0.348809128796159
42,0.44153303092577234
43,0.4995459060551277
44,0.5181306788004125
45,0.4938962690346713
46,0.42489704893879776
47,0.31070912905534365
48,0.15246112516484533
49,-0.04718162116126856
50,-0.2840790438404097
51,-0.5527229075862086
52,-0.8463849531397891
53,-1.1573024563884222
54,-1.4768959327013813
55,-1.796012775991924
56,-2.1051898581922495
57,-2.394927551084102
58,-2.6559672850962395
59,-2.879564638883947
60,-3.0577500628614054
61,-3.1835696763728114
62,-3.251299132343436
63,-3.2566242992764862
64,-3.1967834467825136
65,-3.070666710689456
66,-2.87886982601147
67,-2.623700415960026
68,-2.309136475541375
69,-1.9407380504215537
70,-1.5255144466259916
71,-1.0717505760188533
72,-0.5887972099894945
73,-0.0868309458849999
74,0.423409442132054
75,0.9309029188303534
76,1.4246345532888207
77,1.8938842716665418
78,2.328507919649206
79,2.7192027716581446
80,3.0577500628614063
81,3.3372277705885933
82,3.552187715314906
83,3.698792063807334
84,3.774905469342545
85,3.7801403431303884
86,3.7158540811674956
87,3.585098433634684
88,3.392522560637718
89,3.1442326297557814
90,2.8476120399866915
91,2.5111074681165824
